6/22/2022/11:17 AM SW ver:OXY10v3_33
Header Ch-9
Description: 
IDENTIFICATION
PHIboard number   : v1230827
PM number         : 00000000
Serial number     : S DUK 0001 000004   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 100
Ref LED current   : 065
Ref LED amplitude : 99921
Frequency         : 006
Sending interval  : 0001
Averaging         : 5
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 1
0%a.s.phase 1     : 46.52 at 024.7°C amp 011800
100.00%a.s.phase 2: 28.20 at 024.7°C amp 006600
Date   (ddmmyy)   : 180216
Pressure (mBar)   : 0979

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 979
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
6/22/2022;11:17:07 AM;0.00;6.684;27.460;6566.000;30.000
6/22/2022;11:17:15 AM;0.13;6.643;27.510;6559.000;30.000
6/22/2022;11:17:29 AM;0.37;6.638;27.520;6553.000;30.000
6/22/2022;11:17:45 AM;0.62;6.642;27.510;6549.000;30.000
6/22/2022;11:18:00 AM;0.87;6.601;27.570;6549.000;30.000
6/22/2022;11:18:15 AM;1.12;6.616;27.550;6541.000;30.000
6/22/2022;11:18:30 AM;1.37;6.623;27.540;6527.000;30.000
6/22/2022;11:18:45 AM;1.62;6.609;27.560;6528.000;30.000
6/22/2022;11:19:00 AM;1.87;6.683;27.460;6541.000;30.000
6/22/2022;11:19:15 AM;2.12;6.615;27.550;6531.000;30.000
6/22/2022;11:19:30 AM;2.38;6.634;27.530;6526.000;30.000
6/22/2022;11:19:45 AM;2.63;6.631;27.530;6517.000;30.000
6/22/2022;11:20:00 AM;2.88;6.612;27.560;6518.000;30.000
6/22/2022;11:20:15 AM;3.13;6.635;27.530;6530.000;30.000
6/22/2022;11:20:30 AM;3.38;6.676;27.470;6503.000;30.000
6/22/2022;11:20:45 AM;3.63;6.644;27.510;6508.000;30.000
6/22/2022;11:21:00 AM;3.88;6.714;27.410;6506.000;30.000
6/22/2022;11:21:15 AM;4.13;6.689;27.450;6505.000;30.000
6/22/2022;11:21:30 AM;4.38;6.597;27.580;6492.000;30.000
6/22/2022;11:21:45 AM;4.62;6.650;27.500;6502.000;30.000
6/22/2022;11:22:00 AM;4.87;6.655;27.500;6480.000;30.000
6/22/2022;11:22:15 AM;5.12;6.719;27.410;6494.000;30.000
6/22/2022;11:22:30 AM;5.38;6.659;27.490;6486.000;30.000
6/22/2022;11:22:45 AM;5.63;6.663;27.490;6493.000;30.000
6/22/2022;11:23:00 AM;5.87;6.644;27.510;6492.000;30.000
6/22/2022;11:23:15 AM;6.12;6.548;27.650;6465.000;30.000
6/22/2022;11:23:30 AM;6.38;6.656;27.490;6478.000;30.000
6/22/2022;11:23:45 AM;6.62;6.665;27.480;6478.000;30.000
6/22/2022;11:24:00 AM;6.88;6.615;27.550;6475.000;30.000
6/22/2022;11:24:15 AM;7.12;6.656;27.490;6469.000;30.000
6/22/2022;11:24:30 AM;7.37;6.667;27.480;6462.000;30.000
6/22/2022;11:24:45 AM;7.62;6.720;27.400;6467.000;30.000
6/22/2022;11:25:00 AM;7.87;6.632;27.530;6465.000;30.000
6/22/2022;11:25:15 AM;8.13;6.746;27.370;6456.000;30.000
6/22/2022;11:25:30 AM;8.38;6.718;27.410;6461.000;30.000
6/22/2022;11:25:45 AM;8.63;6.650;27.500;6460.000;30.000
6/22/2022;11:26:00 AM;8.87;6.692;27.440;6453.000;30.000
6/22/2022;11:26:15 AM;9.12;6.646;27.510;6458.000;30.000
6/22/2022;11:26:30 AM;9.37;6.692;27.440;6443.000;30.000
6/22/2022;11:26:45 AM;9.62;6.728;27.390;6440.000;30.000
