6/23/2022/12:49 PM SW ver:OXY10v3_33
Header Ch-2
Description: 
IDENTIFICATION
PHIboard number   : v1230820
PM number         : 00000000
Serial number     : S DUK 0001 000004   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 100
Ref LED current   : 051
Ref LED amplitude : 101289
Frequency         : 006
Sending interval  : 0001
Averaging         : 9
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 1
0%a.s.phase 1     : 45.26 at 024.7°C amp 006300
100.00%a.s.phase 2: 29.52 at 024.7°C amp 003800
Date   (ddmmyy)   : 121117
Pressure (mBar)   : 0973

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 973
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
6/23/2022;12:49:26 PM;0.00;7.338;27.550;3451.000;30.000
6/23/2022;12:49:40 PM;0.25;7.236;27.680;3469.000;30.000
6/23/2022;12:49:55 PM;0.49;7.242;27.670;3448.000;30.000
6/23/2022;12:50:10 PM;0.75;7.214;27.700;3448.000;30.000
6/23/2022;12:50:25 PM;1.00;7.094;27.860;3465.000;30.000
6/23/2022;12:50:40 PM;1.25;7.153;27.780;3459.000;30.000
6/23/2022;12:50:55 PM;1.50;7.144;27.790;3454.000;30.000
6/23/2022;12:51:10 PM;1.74;7.215;27.700;3453.000;30.000
6/23/2022;12:51:25 PM;1.99;7.192;27.730;3451.000;30.000
6/23/2022;12:51:40 PM;2.25;7.243;27.670;3456.000;30.000
6/23/2022;12:51:55 PM;2.50;7.166;27.770;3448.000;30.000
6/23/2022;12:52:10 PM;2.74;7.315;27.580;3445.000;30.000
6/23/2022;12:52:25 PM;3.00;7.248;27.660;3456.000;30.000
6/23/2022;12:52:40 PM;3.24;7.155;27.780;3450.000;30.000
6/23/2022;12:52:55 PM;3.50;7.210;27.710;3441.000;30.000
6/23/2022;12:53:10 PM;3.75;7.357;27.520;3449.000;30.000
6/23/2022;12:53:25 PM;4.00;7.234;27.680;3441.000;30.000
6/23/2022;12:53:40 PM;4.25;7.229;27.680;3453.000;30.000
6/23/2022;12:53:55 PM;4.50;7.137;27.800;3450.000;30.000
6/23/2022;12:54:10 PM;4.75;7.307;27.590;3453.000;30.000
6/23/2022;12:54:25 PM;4.99;7.279;27.620;3453.000;30.000
6/23/2022;12:54:40 PM;5.25;7.137;27.800;3449.000;30.000
6/23/2022;12:54:55 PM;5.50;7.142;27.800;3450.000;30.000
6/23/2022;12:55:10 PM;5.75;7.331;27.560;3447.000;30.000
6/23/2022;12:55:25 PM;6.00;7.172;27.760;3465.000;30.000
6/23/2022;12:55:40 PM;6.24;7.200;27.720;3449.000;30.000
6/23/2022;12:55:55 PM;6.50;7.146;27.790;3452.000;30.000
6/23/2022;12:56:10 PM;6.74;7.210;27.710;3452.000;30.000
6/23/2022;12:56:25 PM;7.00;7.394;27.480;3447.000;30.000
6/23/2022;12:56:40 PM;7.24;7.416;27.450;3451.000;30.000
6/23/2022;12:56:55 PM;7.50;7.237;27.680;3453.000;30.000
6/23/2022;12:57:10 PM;7.75;7.332;27.550;3459.000;30.000
6/23/2022;12:57:25 PM;8.00;7.329;27.560;3443.000;30.000
6/23/2022;12:57:40 PM;8.25;7.283;27.620;3448.000;30.000
6/23/2022;12:57:55 PM;8.50;7.397;27.470;3444.000;30.000
6/23/2022;12:58:10 PM;8.75;7.309;27.580;3444.000;30.000
6/23/2022;12:58:25 PM;9.00;7.197;27.730;3446.000;30.000
6/23/2022;12:58:40 PM;9.25;7.331;27.560;3441.000;30.000
6/23/2022;12:58:55 PM;9.50;7.288;27.610;3446.000;30.000
6/23/2022;12:59:10 PM;9.75;7.232;27.680;3444.000;30.000
6/23/2022;12:59:25 PM;10.00;7.154;27.780;3455.000;30.000
6/23/2022;12:59:40 PM;10.25;7.228;27.690;3447.000;30.000
6/23/2022;12:59:55 PM;10.50;7.337;27.550;3449.000;30.000
6/23/2022;1:00:10 PM;10.75;7.319;27.570;3447.000;30.000
6/23/2022;1:00:25 PM;11.00;7.244;27.670;3447.000;30.000
6/23/2022;1:00:40 PM;11.25;7.214;27.700;3448.000;30.000
6/23/2022;1:00:55 PM;11.49;7.255;27.650;3446.000;30.000
6/23/2022;1:01:10 PM;11.74;7.363;27.520;3449.000;30.000
6/23/2022;1:01:25 PM;12.00;7.226;27.690;3451.000;30.000
6/23/2022;1:01:40 PM;12.25;7.281;27.620;3450.000;30.000
6/23/2022;1:01:55 PM;12.50;7.378;27.500;3450.000;30.000
6/23/2022;1:02:10 PM;12.75;7.356;27.520;3447.000;30.000
6/23/2022;1:02:25 PM;13.00;7.224;27.690;3443.000;30.000
6/23/2022;1:02:40 PM;13.24;7.237;27.670;3449.000;30.000
6/23/2022;1:02:55 PM;13.49;7.280;27.620;3430.000;30.000
6/23/2022;1:03:10 PM;13.75;7.462;27.390;3394.000;30.000
6/23/2022;1:03:25 PM;14.00;7.716;27.080;3374.000;30.000
6/23/2022;1:03:40 PM;14.24;7.476;27.380;3373.000;30.000
6/23/2022;1:03:55 PM;14.50;7.719;27.080;3368.000;30.000
6/23/2022;1:04:10 PM;14.75;7.659;27.150;3362.000;30.000
6/23/2022;1:04:25 PM;15.00;7.711;27.090;3361.000;30.000
6/23/2022;1:04:40 PM;15.25;7.671;27.140;3359.000;30.000
6/23/2022;1:04:55 PM;15.50;7.603;27.220;3358.000;30.000
6/23/2022;1:05:10 PM;15.75;7.704;27.100;3352.000;30.000
6/23/2022;1:05:25 PM;16.00;7.730;27.070;3355.000;30.000
6/23/2022;1:05:40 PM;16.25;7.734;27.060;3355.000;30.000
6/23/2022;1:05:55 PM;16.49;7.657;27.150;3363.000;30.000
6/23/2022;1:06:10 PM;16.74;7.710;27.090;3360.000;30.000
6/23/2022;1:06:25 PM;17.00;7.763;27.030;3355.000;30.000
6/23/2022;1:06:40 PM;17.25;7.719;27.080;3357.000;30.000
6/23/2022;1:06:55 PM;17.50;7.728;27.070;3342.000;30.000
6/23/2022;1:07:10 PM;17.75;7.818;26.960;3334.000;30.000
6/23/2022;1:07:25 PM;17.99;7.731;27.070;3323.000;30.000
6/23/2022;1:07:40 PM;18.25;7.876;26.890;3322.000;30.000
6/23/2022;1:07:55 PM;18.50;7.803;26.980;3330.000;30.000
6/23/2022;1:08:10 PM;18.75;7.811;26.970;3333.000;30.000
6/23/2022;1:08:25 PM;19.00;7.891;26.880;3326.000;30.000
6/23/2022;1:08:40 PM;19.24;7.937;26.820;3337.000;30.000
6/23/2022;1:08:55 PM;19.50;7.739;27.060;3340.000;30.000
6/23/2022;1:09:10 PM;19.75;7.946;26.810;3331.000;30.000
6/23/2022;1:09:25 PM;20.00;7.880;26.890;3343.000;30.000
6/23/2022;1:09:40 PM;20.24;7.756;27.040;3340.000;30.000
6/23/2022;1:09:55 PM;20.50;7.713;27.090;3343.000;30.000
6/23/2022;1:10:10 PM;20.74;7.664;27.150;3336.000;30.000
6/23/2022;1:10:25 PM;21.00;7.863;26.910;3338.000;30.000
6/23/2022;1:10:40 PM;21.24;7.967;26.790;3336.000;30.000
6/23/2022;1:10:55 PM;21.50;7.802;26.980;3346.000;30.000
6/23/2022;1:11:10 PM;21.74;7.856;26.920;3330.000;30.000
6/23/2022;1:11:25 PM;22.00;7.685;27.120;3335.000;30.000
6/23/2022;1:11:40 PM;22.25;7.723;27.080;3342.000;30.000
6/23/2022;1:11:55 PM;22.50;7.915;26.850;3338.000;30.000
6/23/2022;1:12:10 PM;22.74;7.687;27.120;3331.000;30.000
6/23/2022;1:12:25 PM;23.00;8.075;26.660;3340.000;30.000
6/23/2022;1:12:40 PM;23.25;7.782;27.010;3347.000;30.000
6/23/2022;1:12:55 PM;23.50;7.646;27.170;3348.000;30.000
6/23/2022;1:13:10 PM;23.75;7.757;27.030;3357.000;30.000
6/23/2022;1:13:25 PM;24.00;7.802;26.980;3347.000;30.000
6/23/2022;1:13:40 PM;24.25;7.671;27.140;3351.000;30.000
6/23/2022;1:13:55 PM;24.49;7.653;27.160;3359.000;30.000
6/23/2022;1:14:10 PM;24.75;7.734;27.060;3348.000;30.000
6/23/2022;1:14:25 PM;25.00;7.834;26.940;3358.000;30.000
6/23/2022;1:14:40 PM;25.25;7.532;27.310;3362.000;30.000
6/23/2022;1:14:55 PM;25.50;7.763;27.030;3367.000;30.000
6/23/2022;1:15:10 PM;25.75;7.761;27.030;3348.000;30.000
6/23/2022;1:15:25 PM;26.00;7.590;27.240;3359.000;30.000
6/23/2022;1:15:40 PM;26.25;7.679;27.130;3363.000;30.000
6/23/2022;1:15:55 PM;26.50;7.678;27.130;3374.000;30.000
6/23/2022;1:16:10 PM;26.75;7.587;27.240;3362.000;30.000
6/23/2022;1:16:25 PM;26.99;7.693;27.110;3379.000;30.000
6/23/2022;1:16:40 PM;27.25;7.677;27.130;3365.000;30.000
6/23/2022;1:16:55 PM;27.50;7.661;27.150;3365.000;30.000
6/23/2022;1:17:10 PM;27.75;7.706;27.100;3367.000;30.000
6/23/2022;1:17:25 PM;28.00;7.709;27.090;3364.000;30.000
6/23/2022;1:17:40 PM;28.24;7.554;27.280;3366.000;30.000
6/23/2022;1:17:55 PM;28.50;7.606;27.220;3368.000;30.000
6/23/2022;1:18:10 PM;28.75;7.539;27.300;3379.000;30.000
6/23/2022;1:18:25 PM;28.99;7.556;27.280;3382.000;30.000
6/23/2022;1:18:40 PM;29.25;7.550;27.280;3379.000;30.000
6/23/2022;1:18:55 PM;29.50;7.729;27.070;3378.000;30.000
6/23/2022;1:19:10 PM;29.75;7.603;27.220;3368.000;30.000
6/23/2022;1:19:25 PM;30.00;7.738;27.060;3360.000;30.000
6/23/2022;1:19:40 PM;30.24;7.787;27.000;3358.000;30.000
6/23/2022;1:19:55 PM;30.50;7.823;26.960;3356.000;30.000
6/23/2022;1:20:10 PM;30.75;7.808;26.970;3347.000;30.000
6/23/2022;1:20:25 PM;30.99;7.687;27.120;3341.000;30.000
6/23/2022;1:20:40 PM;31.25;7.677;27.130;3349.000;30.000
6/23/2022;1:20:55 PM;31.49;7.641;27.170;3349.000;30.000
6/23/2022;1:21:10 PM;31.75;7.853;26.920;3345.000;30.000
6/23/2022;1:21:25 PM;32.00;7.679;27.130;3350.000;30.000
6/23/2022;1:21:40 PM;32.25;7.724;27.070;3347.000;30.000
6/23/2022;1:21:55 PM;32.50;7.651;27.160;3337.000;30.000
6/23/2022;1:22:10 PM;32.75;7.797;26.990;3346.000;30.000
6/23/2022;1:22:25 PM;33.00;7.719;27.080;3345.000;30.000
6/23/2022;1:22:40 PM;33.25;7.597;27.230;3346.000;30.000
6/23/2022;1:22:55 PM;33.50;7.808;26.970;3338.000;30.000
6/23/2022;1:23:10 PM;33.75;7.920;26.840;3335.000;30.000
6/23/2022;1:23:25 PM;34.00;7.988;26.760;3318.000;30.000
6/23/2022;1:23:40 PM;34.25;8.033;26.710;3315.000;30.000
6/23/2022;1:23:55 PM;34.49;7.881;26.890;3311.000;30.000
6/23/2022;1:24:10 PM;34.75;8.058;26.680;3313.000;30.000
6/23/2022;1:24:25 PM;35.00;7.823;26.960;3308.000;30.000
6/23/2022;1:24:40 PM;35.25;7.792;26.990;3309.000;30.000
6/23/2022;1:24:55 PM;35.49;7.837;26.940;3316.000;30.000
6/23/2022;1:25:10 PM;35.75;7.917;26.850;3307.000;30.000
6/23/2022;1:25:25 PM;36.00;7.930;26.830;3322.000;30.000
6/23/2022;1:25:40 PM;36.24;7.858;26.910;3318.000;30.000
6/23/2022;1:25:55 PM;36.50;7.857;26.920;3309.000;30.000
6/23/2022;1:26:10 PM;36.75;7.942;26.820;3310.000;30.000
6/23/2022;1:26:25 PM;36.99;7.802;26.980;3310.000;30.000
6/23/2022;1:26:40 PM;37.25;8.049;26.690;3306.000;30.000
6/23/2022;1:26:55 PM;37.49;7.928;26.830;3313.000;30.000
6/23/2022;1:27:10 PM;37.75;7.937;26.820;3296.000;30.000
6/23/2022;1:27:25 PM;38.00;8.085;26.650;3298.000;30.000
6/23/2022;1:27:40 PM;38.25;8.005;26.740;3284.000;30.000
6/23/2022;1:27:55 PM;38.49;8.045;26.700;3284.000;30.000
6/23/2022;1:28:10 PM;38.74;8.104;26.630;3284.000;30.000
6/23/2022;1:28:25 PM;38.99;7.902;26.860;3284.000;30.000
6/23/2022;1:28:40 PM;39.25;8.012;26.740;3288.000;30.000
6/23/2022;1:28:55 PM;39.50;8.137;26.590;3281.000;30.000
6/23/2022;1:29:10 PM;39.75;7.968;26.790;3292.000;30.000
6/23/2022;1:29:25 PM;39.99;8.163;26.560;3286.000;30.000
6/23/2022;1:29:40 PM;40.25;8.121;26.610;3290.000;30.000
6/23/2022;1:29:55 PM;40.50;8.262;26.450;3281.000;30.000
6/23/2022;1:30:10 PM;40.75;8.237;26.480;3287.000;30.000
6/23/2022;1:30:25 PM;40.99;8.064;26.670;3288.000;30.000
6/23/2022;1:30:40 PM;41.25;7.915;26.850;3294.000;30.000
6/23/2022;1:30:55 PM;41.50;8.146;26.580;3290.000;30.000
6/23/2022;1:31:10 PM;41.74;8.309;26.400;3282.000;30.000
6/23/2022;1:31:25 PM;42.00;8.158;26.570;3266.000;30.000
6/23/2022;1:31:40 PM;42.24;8.254;26.460;3262.000;30.000
6/23/2022;1:31:55 PM;42.50;8.243;26.470;3262.000;30.000
6/23/2022;1:32:10 PM;42.75;8.388;26.310;3268.000;30.000
6/23/2022;1:32:25 PM;43.00;8.110;26.620;3267.000;30.000
6/23/2022;1:32:40 PM;43.25;8.245;26.470;3254.000;30.000
6/23/2022;1:32:55 PM;43.50;8.253;26.460;3270.000;30.000
6/23/2022;1:33:10 PM;43.75;8.135;26.590;3266.000;30.000
6/23/2022;1:33:25 PM;44.00;8.101;26.630;3267.000;30.000
6/23/2022;1:33:40 PM;44.25;8.325;26.380;3255.000;30.000
6/23/2022;1:33:55 PM;44.50;8.271;26.440;3266.000;30.000
6/23/2022;1:34:10 PM;44.75;8.161;26.560;3256.000;30.000
