"Plot Title: Thermal block test"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 9711153, SEN S/N: 9711153)","Temp, °C (LGR S/N: 9711153, SEN S/N: 9711153)","Coupler Detached (LGR S/N: 9711153)","Coupler Attached (LGR S/N: 9711153)","Host Connected (LGR S/N: 9711153)","Stopped (LGR S/N: 9711153)","End Of File (LGR S/N: 9711153)"
1,06/21/22 08:33:37 AM,24.098,24.050,,,,,
2,06/21/22 08:34:37 AM,24.098,24.050,,,,,
3,06/21/22 08:34:45 AM,,,Logged,,,,
4,06/21/22 08:35:37 AM,24.122,24.098,,,,,
5,06/21/22 08:36:37 AM,24.195,24.146,,,,,
6,06/21/22 08:37:37 AM,24.195,24.146,,,,,
7,06/21/22 08:38:37 AM,24.195,24.146,,,,,
8,06/21/22 08:39:37 AM,24.146,24.122,,,,,
9,06/21/22 08:40:37 AM,24.146,24.122,,,,,
10,06/21/22 08:41:37 AM,24.122,24.098,,,,,
11,06/21/22 08:42:37 AM,24.122,24.098,,,,,
12,06/21/22 08:43:37 AM,24.098,24.074,,,,,
13,06/21/22 08:44:37 AM,24.098,24.074,,,,,
14,06/21/22 08:45:37 AM,24.098,24.074,,,,,
15,06/21/22 08:46:37 AM,24.098,24.050,,,,,
16,06/21/22 08:47:37 AM,24.098,24.050,,,,,
17,06/21/22 08:48:37 AM,24.098,24.050,,,,,
18,06/21/22 08:49:37 AM,24.074,24.050,,,,,
19,06/21/22 08:50:37 AM,24.074,24.050,,,,,
20,06/21/22 08:51:37 AM,24.074,24.050,,,,,
21,06/21/22 08:52:37 AM,24.074,24.050,,,,,
22,06/21/22 08:53:37 AM,24.074,24.026,,,,,
23,06/21/22 08:54:37 AM,24.050,24.026,,,,,
24,06/21/22 08:55:37 AM,24.050,24.026,,,,,
25,06/21/22 08:56:37 AM,24.050,24.026,,,,,
26,06/21/22 08:57:37 AM,24.050,24.026,,,,,
27,06/21/22 08:58:37 AM,24.050,24.026,,,,,
28,06/21/22 08:59:37 AM,24.050,24.026,,,,,
29,06/21/22 09:00:37 AM,24.050,24.026,,,,,
30,06/21/22 09:01:37 AM,24.050,24.002,,,,,
31,06/21/22 09:02:37 AM,23.978,24.002,,,,,
32,06/21/22 09:03:37 AM,24.026,24.002,,,,,
33,06/21/22 09:04:37 AM,24.026,24.002,,,,,
34,06/21/22 09:05:37 AM,24.026,24.002,,,,,
35,06/21/22 09:06:37 AM,24.002,23.978,,,,,
36,06/21/22 09:07:37 AM,24.002,23.978,,,,,
37,06/21/22 09:08:37 AM,23.978,23.954,,,,,
38,06/21/22 09:09:37 AM,23.954,23.930,,,,,
39,06/21/22 09:10:37 AM,23.954,23.930,,,,,
40,06/21/22 09:11:37 AM,23.954,23.905,,,,,
41,06/21/22 09:12:37 AM,23.954,23.905,,,,,
42,06/21/22 09:13:37 AM,23.954,23.905,,,,,
43,06/21/22 09:14:37 AM,23.954,23.905,,,,,
44,06/21/22 09:15:37 AM,23.954,23.905,,,,,
45,06/21/22 09:16:37 AM,23.930,23.905,,,,,
46,06/21/22 09:17:37 AM,23.930,23.905,,,,,
47,06/21/22 09:18:37 AM,23.954,23.905,,,,,
48,06/21/22 09:19:37 AM,23.930,23.905,,,,,
49,06/21/22 09:20:37 AM,23.930,23.881,,,,,
50,06/21/22 09:21:37 AM,23.930,23.905,,,,,
51,06/21/22 09:22:37 AM,23.930,23.881,,,,,
52,06/21/22 09:23:37 AM,23.905,23.881,,,,,
