"Plot Title: Thermal block test"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 9711153, SEN S/N: 9711153)","Temp, °C (LGR S/N: 9711153, SEN S/N: 9711153)","Coupler Detached (LGR S/N: 9711153)","Coupler Attached (LGR S/N: 9711153)","Host Connected (LGR S/N: 9711153)","Stopped (LGR S/N: 9711153)","End Of File (LGR S/N: 9711153)"
1,06/22/22 10:08:44 AM,24.291,24.243,,,,,
2,06/22/22 10:08:48 AM,,,Logged,,,,
3,06/22/22 10:09:14 AM,24.267,24.243,,,,,
4,06/22/22 10:09:44 AM,24.267,24.219,,,,,
5,06/22/22 10:10:14 AM,24.243,24.219,,,,,
6,06/22/22 10:10:44 AM,24.243,24.219,,,,,
7,06/22/22 10:11:14 AM,24.243,24.219,,,,,
8,06/22/22 10:11:44 AM,24.243,24.219,,,,,
9,06/22/22 10:12:14 AM,24.243,24.219,,,,,
10,06/22/22 10:12:44 AM,24.243,24.195,,,,,
11,06/22/22 10:13:14 AM,24.243,24.195,,,,,
12,06/22/22 10:13:44 AM,24.219,24.195,,,,,
13,06/22/22 10:14:14 AM,24.219,24.195,,,,,
14,06/22/22 10:14:44 AM,24.219,24.195,,,,,
15,06/22/22 10:15:14 AM,24.219,24.195,,,,,
16,06/22/22 10:15:44 AM,24.219,24.195,,,,,
17,06/22/22 10:16:14 AM,24.195,24.171,,,,,
18,06/22/22 10:16:44 AM,24.195,24.171,,,,,
19,06/22/22 10:17:14 AM,24.195,24.171,,,,,
20,06/22/22 10:17:44 AM,24.195,24.171,,,,,
21,06/22/22 10:18:14 AM,24.195,24.171,,,,,
22,06/22/22 10:18:44 AM,24.195,24.171,,,,,
23,06/22/22 10:19:14 AM,24.195,24.171,,,,,
24,06/22/22 10:19:44 AM,24.195,24.146,,,,,
25,06/22/22 10:20:14 AM,24.171,24.146,,,,,
26,06/22/22 10:20:44 AM,24.171,24.146,,,,,
27,06/22/22 10:21:14 AM,24.171,24.146,,,,,
28,06/22/22 10:21:44 AM,24.171,24.146,,,,,
29,06/22/22 10:22:14 AM,24.171,24.146,,,,,
30,06/22/22 10:22:44 AM,24.171,24.146,,,,,
31,06/22/22 10:23:14 AM,24.171,24.146,,,,,
32,06/22/22 10:23:44 AM,24.146,24.122,,,,,
33,06/22/22 10:24:14 AM,24.146,24.122,,,,,
34,06/22/22 10:24:44 AM,24.146,24.122,,,,,
35,06/22/22 10:25:14 AM,24.146,24.122,,,,,
36,06/22/22 10:25:44 AM,24.677,24.605,,,,,
37,06/22/22 10:26:14 AM,27.014,27.136,,,,,
38,06/22/22 10:26:44 AM,24.968,25.841,,,,,
39,06/22/22 10:27:14 AM,24.243,25.477,,,,,
40,06/22/22 10:27:44 AM,24.146,25.477,,,,,
41,06/22/22 10:28:14 AM,24.219,25.574,,,,,
42,06/22/22 10:28:44 AM,24.653,26.012,,,,,
43,06/22/22 10:29:14 AM,25.186,26.451,,,,,
44,06/22/22 10:29:44 AM,25.793,26.842,,,,,
45,06/22/22 10:30:14 AM,26.475,27.259,,,,,
46,06/22/22 10:30:44 AM,27.628,28.196,,,,,
47,06/22/22 10:31:14 AM,28.270,28.617,,,,,
48,06/22/22 10:31:44 AM,28.568,28.742,,,,,
49,06/22/22 10:32:14 AM,28.916,28.990,,,,,
50,06/22/22 10:32:44 AM,29.190,29.190,,,,,
51,06/22/22 10:33:14 AM,29.290,29.240,,,,,
52,06/22/22 10:33:44 AM,29.340,29.290,,,,,
53,06/22/22 10:34:14 AM,29.365,29.290,,,,,
54,06/22/22 10:34:44 AM,29.290,29.215,,,,,
55,06/22/22 10:35:14 AM,29.389,29.315,,,,,
56,06/22/22 10:35:44 AM,29.565,29.490,,,,,
57,06/22/22 10:36:14 AM,29.840,29.740,,,,,
58,06/22/22 10:36:44 AM,31.331,31.179,,,,,
59,06/22/22 10:37:14 AM,31.255,31.052,,,,,
60,06/22/22 10:37:44 AM,30.545,30.369,,,,,
61,06/22/22 10:38:14 AM,29.515,29.365,,,,,
62,06/22/22 10:38:44 AM,29.315,29.215,,,,,
63,06/22/22 10:39:14 AM,29.165,29.065,,,,,
64,06/22/22 10:39:44 AM,29.190,29.090,,,,,
65,06/22/22 10:40:14 AM,29.190,29.115,,,,,
66,06/22/22 10:40:44 AM,29.190,29.090,,,,,
67,06/22/22 10:41:14 AM,29.290,29.190,,,,,
68,06/22/22 10:41:44 AM,29.290,29.190,,,,,
69,06/22/22 10:42:14 AM,29.340,29.215,,,,,
70,06/22/22 10:42:44 AM,29.439,29.290,,,,,
71,06/22/22 10:43:14 AM,29.464,29.389,,,,,
72,06/22/22 10:43:44 AM,29.439,29.365,,,,,
73,06/22/22 10:44:14 AM,29.389,29.315,,,,,
74,06/22/22 10:44:44 AM,29.439,29.315,,,,,
75,06/22/22 10:45:14 AM,29.414,29.315,,,,,
76,06/22/22 10:45:44 AM,29.365,29.265,,,,,
77,06/22/22 10:46:14 AM,29.365,29.240,,,,,
78,06/22/22 10:46:44 AM,29.439,29.340,,,,,
79,06/22/22 10:47:14 AM,29.565,29.464,,,,,
80,06/22/22 10:47:44 AM,29.640,29.540,,,,,
81,06/22/22 10:48:14 AM,29.690,29.590,,,,,
82,06/22/22 10:48:44 AM,29.690,29.590,,,,,
83,06/22/22 10:49:14 AM,29.715,29.590,,,,,
84,06/22/22 10:49:44 AM,29.715,29.590,,,,,
85,06/22/22 10:50:14 AM,29.665,29.540,,,,,
86,06/22/22 10:50:44 AM,29.665,29.540,,,,,
87,06/22/22 10:51:14 AM,29.665,29.540,,,,,
88,06/22/22 10:51:44 AM,29.690,29.540,,,,,
89,06/22/22 10:52:14 AM,29.665,29.540,,,,,
90,06/22/22 10:52:44 AM,29.665,29.540,,,,,
91,06/22/22 10:53:14 AM,29.665,29.540,,,,,
92,06/22/22 10:53:44 AM,29.690,29.540,,,,,
93,06/22/22 10:54:14 AM,29.690,29.590,,,,,
94,06/22/22 10:54:44 AM,29.715,29.590,,,,,
95,06/22/22 10:55:14 AM,29.690,29.590,,,,,
96,06/22/22 10:55:44 AM,29.665,29.565,,,,,
97,06/22/22 10:56:14 AM,29.715,29.615,,,,,
98,06/22/22 10:56:44 AM,29.740,29.615,,,,,
99,06/22/22 10:57:14 AM,29.690,29.590,,,,,
100,06/22/22 10:57:44 AM,29.690,29.590,,,,,
101,06/22/22 10:58:14 AM,29.665,29.565,,,,,
102,06/22/22 10:58:44 AM,29.640,29.540,,,,,
103,06/22/22 10:59:14 AM,29.640,29.515,,,,,
104,06/22/22 10:59:44 AM,29.665,29.540,,,,,
105,06/22/22 11:00:14 AM,29.665,29.540,,,,,
106,06/22/22 11:00:44 AM,29.665,29.540,,,,,
107,06/22/22 11:01:14 AM,29.640,29.490,,,,,
108,06/22/22 11:01:44 AM,29.640,29.515,,,,,
109,06/22/22 11:02:14 AM,29.690,29.565,,,,,
110,06/22/22 11:02:44 AM,29.665,29.540,,,,,
111,06/22/22 11:03:14 AM,29.640,29.540,,,,,
112,06/22/22 11:03:44 AM,29.640,29.540,,,,,
113,06/22/22 11:04:14 AM,29.615,29.565,,,,,
114,06/22/22 11:04:44 AM,29.464,29.439,,,,,
115,06/22/22 11:05:14 AM,29.240,29.190,,,,,
116,06/22/22 11:05:44 AM,29.215,29.215,,,,,
117,06/22/22 11:06:14 AM,29.190,29.190,,,,,
118,06/22/22 11:06:44 AM,29.190,29.215,,,,,
119,06/22/22 11:07:14 AM,29.240,29.265,,,,,
120,06/22/22 11:07:44 AM,29.240,29.265,,,,,
121,06/22/22 11:08:14 AM,29.340,29.365,,,,,
122,06/22/22 11:08:44 AM,29.290,29.315,,,,,
123,06/22/22 11:09:14 AM,29.265,29.265,,,,,
124,06/22/22 11:09:44 AM,29.290,29.290,,,,,
125,06/22/22 11:10:14 AM,29.365,29.389,,,,,
126,06/22/22 11:10:44 AM,29.464,29.515,,,,,
127,06/22/22 11:11:14 AM,29.389,29.414,,,,,
128,06/22/22 11:11:44 AM,29.365,29.365,,,,,
129,06/22/22 11:12:14 AM,29.315,29.340,,,,,
130,06/22/22 11:12:44 AM,29.340,29.365,,,,,
131,06/22/22 11:13:14 AM,29.414,29.439,,,,,
132,06/22/22 11:13:44 AM,29.464,29.490,,,,,
133,06/22/22 11:14:14 AM,29.515,29.540,,,,,
134,06/22/22 11:14:44 AM,29.540,29.565,,,,,
135,06/22/22 11:15:14 AM,29.540,29.590,,,,,
136,06/22/22 11:15:44 AM,29.540,29.590,,,,,
137,06/22/22 11:16:14 AM,29.540,29.565,,,,,
138,06/22/22 11:16:44 AM,29.515,29.565,,,,,
139,06/22/22 11:17:14 AM,29.515,29.565,,,,,
140,06/22/22 11:17:44 AM,29.540,29.590,,,,,
141,06/22/22 11:18:14 AM,29.515,29.565,,,,,
142,06/22/22 11:18:44 AM,30.268,30.520,,,,,
143,06/22/22 11:19:14 AM,31.714,32.047,,,,,
144,06/22/22 11:19:44 AM,32.047,32.227,,,,,
145,06/22/22 11:20:14 AM,31.868,31.919,,,,,
146,06/22/22 11:20:44 AM,31.001,30.900,,,,,
147,06/22/22 11:21:14 AM,30.369,30.318,,,,,
148,06/22/22 11:21:44 AM,30.117,30.117,,,,,
149,06/22/22 11:22:14 AM,30.041,30.091,,,,,
150,06/22/22 11:22:44 AM,30.318,30.596,,,,,
151,06/22/22 11:23:14 AM,30.773,31.026,,,,,
152,06/22/22 11:23:44 AM,31.001,31.204,,,,,
153,06/22/22 11:24:14 AM,31.103,31.306,,,,,
154,06/22/22 11:24:44 AM,31.128,31.357,,,,,
155,06/22/22 11:25:14 AM,31.128,31.382,,,,,
156,06/22/22 11:25:44 AM,31.128,31.408,,,,,
157,06/22/22 11:26:14 AM,31.128,31.408,,,,,
158,06/22/22 11:26:44 AM,31.510,31.868,,,,,
159,06/22/22 11:27:14 AM,31.842,32.227,,,,,
160,06/22/22 11:27:44 AM,31.944,32.304,,,,,
161,06/22/22 11:28:14 AM,31.996,32.330,,,,,
162,06/22/22 11:28:44 AM,32.021,32.355,,,,,
163,06/22/22 11:29:14 AM,32.021,32.355,,,,,
164,06/22/22 11:29:44 AM,32.021,32.355,,,,,
165,06/22/22 11:30:14 AM,32.073,32.407,,,,,
166,06/22/22 11:30:44 AM,32.484,32.898,,,,,
167,06/22/22 11:31:14 AM,32.742,33.131,,,,,
168,06/22/22 11:31:44 AM,32.846,33.209,,,,,
169,06/22/22 11:32:14 AM,32.872,33.235,,,,,
170,06/22/22 11:32:44 AM,32.898,33.235,,,,,
171,06/22/22 11:33:14 AM,32.898,33.261,,,,,
172,06/22/22 11:33:44 AM,32.898,33.235,,,,,
173,06/22/22 11:34:14 AM,33.027,33.417,,,,,
174,06/22/22 11:34:44 AM,33.469,33.940,,,,,
175,06/22/22 11:35:14 AM,33.704,34.124,,,,,
176,06/22/22 11:35:44 AM,33.783,34.202,,,,,
177,06/22/22 11:36:14 AM,33.809,34.202,,,,,
178,06/22/22 11:36:44 AM,33.809,34.202,,,,,
179,06/22/22 11:37:14 AM,33.809,34.202,,,,,
180,06/22/22 11:37:44 AM,33.809,34.202,,,,,
181,06/22/22 11:38:14 AM,34.071,34.492,,,,,
182,06/22/22 11:38:44 AM,34.492,34.916,,,,,
183,06/22/22 11:39:14 AM,34.651,35.022,,,,,
184,06/22/22 11:39:44 AM,34.757,35.049,,,,,
185,06/22/22 11:40:14 AM,34.836,35.075,,,,,
186,06/22/22 11:40:44 AM,34.889,35.102,,,,,
187,06/22/22 11:41:14 AM,34.916,35.102,,,,,
188,06/22/22 11:41:44 AM,34.942,35.102,,,,,
189,06/22/22 11:42:14 AM,35.262,35.502,,,,,
190,06/22/22 11:42:44 AM,35.555,35.823,,,,,
191,06/22/22 11:43:14 AM,35.636,35.931,,,,,
192,06/22/22 11:43:44 AM,35.662,35.958,,,,,
193,06/22/22 11:44:14 AM,35.662,35.958,,,,,
194,06/22/22 11:44:44 AM,35.662,35.985,,,,,
195,06/22/22 11:45:14 AM,35.689,36.012,,,,,
196,06/22/22 11:45:44 AM,35.743,36.039,,,,,
197,06/22/22 11:46:14 AM,36.173,36.525,,,,,
198,06/22/22 11:46:44 AM,36.444,36.824,,,,,
199,06/22/22 11:47:14 AM,36.525,36.905,,,,,
200,06/22/22 11:47:44 AM,36.552,36.905,,,,,
201,06/22/22 11:48:14 AM,36.742,36.878,,,,,
202,06/22/22 11:48:44 AM,36.851,36.878,,,,,
203,06/22/22 11:49:14 AM,36.878,36.878,,,,,
204,06/22/22 11:49:44 AM,37.042,36.987,,,,,
205,06/22/22 11:50:14 AM,37.590,37.563,,,,,
206,06/22/22 11:50:44 AM,37.783,37.728,,,,,
207,06/22/22 11:51:14 AM,37.838,37.783,,,,,
