"","date","trial","channel","ind","stage","weight","ramp","logtime","ropt1","ropt2","tempcorr"
"1","2022-06-21",2,6,294,"Protonymph",0.24,0.219514593828808,58.4,-0.01925548,0.01925548,39.4421867263588
"2","2022-06-21",2,7,322,"Tritonymph",0.749,0.219514593828808,60.6,-0.02079632,0.02079632,39.6543053654348
"3","2022-06-21",2,8,22,"Deutonymph",0.339,0.219514593828808,69.2,-0.01781269,0.01781269,41.3779737924763
"4","2022-06-21",2,9,258,"Male",1.001,0.219514593828808,59,-0.01602259,0.01602259,39.5179823326096
"5","2022-06-21",2,10,250,"Female",1.269,0.219514593828808,62.4,-0.02256806,0.02256806,40.3877232820343
"6","2022-06-21",2,1,239,"Tritonymph",0.792,0.219514593828808,44.4,-0.01257116,0.01257116,36.0880948267282
"7","2022-06-21",2,2,311,"Protonymph",0.189,0.219514593828808,85.2,-0.01747676,0.01747676,45.2609990594686
"8","2022-06-21",2,4,136,"Deutonymph",0.33,0.219514593828808,60.4,-0.01334913,0.01334913,39.6543053654348
"9","2022-06-21",2,5,168,"Male",1.219,0.219514593828808,68.4,-0.02418134,0.02418134,41.3779737924763
"10","2022-06-21",3,10,10,"Female",1.228,0.249965543538262,51.8,-0.02808031,0.02808031,39.8353423530266
"11","2022-06-21",3,2,29,"Male",0.924,0.249965543538262,67.8,-0.01937002,0.01937002,44.046633483062
"12","2022-06-21",3,3,87,"Protonymph",0.251,0.249965543538262,76.8,-0.04423682,0.04423682,46.0587614475616
"13","2022-06-21",3,4,166,"Female",1.376,0.249965543538262,69.6,-0.02355368,0.02355368,44.8967439157598
"14","2022-06-21",3,5,300,"Deutonymph",0.289,0.249965543538262,95.2,-0.0222146,0.0222146,50.8644210007147
"15","2022-06-21",3,7,14,"Deutonymph",0.347,0.249965543538262,44.8,-0.02214279,0.02214279,37.9240934328177
"16","2022-06-21",3,8,271,"Tritonymph",0.647,0.249965543538262,49.4,-0.02245661,0.02245661,38.9715996170463
"17","2022-06-21",3,9,143,"Male",1.021,0.249965543538262,68.6,-0.02303941,0.02303941,44.0635375391323
"18","2022-06-22",4,1,337,"Protonymph",0.163,0.259586366648534,98.4,-0.01802439,0.01802439,52.9109023694862
"19","2022-06-22",4,2,51,"Deutonymph",0.35,0.259586366648534,85.4,-0.02082669,0.02082669,49.8698081532222
"20","2022-06-22",4,3,109,"Tritonymph",0.73,0.259586366648534,66.2,-0.02548911,0.02548911,44.8555743598465
"21","2022-06-22",4,4,245,"Male",0.963,0.259586366648534,64.2,-0.02879087,0.02879087,43.9899231014067
"22","2022-06-22",4,5,37,"Female",1.332,0.259586366648534,68.6,-0.02878036,0.02878036,45.1939281273186
"23","2022-06-22",4,6,131,"Tritonymph",0.509,0.259586366648534,53.6,-0.02256749,0.02256749,41.6263543582838
"24","2022-06-22",4,10,213,"Deutonymph",0.241,0.259586366648534,92,-0.0232461,0.0232461,50.9650273989397
"25","2022-06-22",4,7,5,"Female",1.582,0.259586366648534,64.4,-0.03171343,0.03171343,43.9899231014067
"26","2022-06-22",4,8,194,"Male",0.999,0.259586366648534,54,-0.02403064,0.02403064,41.6263543582838
"27","2022-06-22",4,9,154,"Protonymph",0.109,0.259586366648534,95.2,-0.02726921,0.02726921,51.9337388701953
"28","2022-06-22",5,1,24,"Female",1.472,0.255547036297303,68.4,-0.02620282,0.02620282,44.8400335341045
"29","2022-06-22",5,2,253,"Male",0.9,0.255547036297303,61.2,-0.02951922,0.02951922,42.7940974574643
"30","2022-06-22",5,4,3,"Deutonymph",0.328,0.255547036297303,65.6,-0.03006013,0.03006013,43.8694135403892
"31","2022-06-22",5,5,290,"Protonymph",0.166,0.255547036297303,65,-0.01957691,0.01957691,43.8208825407035
"32","2022-06-22",5,6,244,"Female",1.454,0.255547036297303,64.8,-0.04192271,0.04192271,43.8208825407035
"33","2022-06-22",5,7,257,"Male",0.946,0.255547036297303,64.2,-0.02961703,0.02961703,43.6433899519651
"34","2022-06-22",5,8,32,"Tritonymph",0.613,0.255547036297303,50.8,-0.02401294,0.02401294,39.7442785670994
"35","2022-06-22",5,9,159,"Deutonymph",0.278,0.255547036297303,58.6,-0.01942014,0.01942014,41.8774613847477
"36","2022-06-22",5,10,324,"Protonymph",0.158,0.255547036297303,94.2,-0.02528877,0.02528877,51.398261997258
"37","2022-06-22",6,10,267,"Deutonymph",0.221,0.246093925561829,70,-0.01856749,0.01856749,42.9369639958651
"38","2022-06-22",6,1,288,"Deutonymph",0.257,0.246093925561829,98,-0.01831366,0.01831366,49.7539335753208
"39","2022-06-22",6,2,30,"Female",1.583,0.246093925561829,67.6,-0.02587463,0.02587463,41.9709789852659
"40","2022-06-22",6,4,287,"Tritonymph",0.583,0.246093925561829,71,-0.02442623,0.02442623,42.9448707317689
"41","2022-06-22",6,5,218,"Tritonymph",0.715,0.246093925561829,83.2,-0.02460043,0.02460043,45.9169854934234
"42","2022-06-22",6,6,238,"Male",0.794,0.246093925561829,74.8,-0.02344149,0.02344149,43.9981024833762
"43","2022-06-22",6,7,165,"Protonymph",0.142,0.246093925561829,105,-0.02113159,0.02113159,51.766334185886
"44","2022-06-22",6,8,298,"Protonymph",0.201,0.246093925561829,68.8,-0.02075574,0.02075574,42.5555321500202
"45","2022-06-22",6,9,66,"Female",2.208,0.246093925561829,76.2,-0.0275705,0.0275705,43.9820163655029
"46","2022-06-22",7,2,216,"Male",1.126,0.257045700351432,57.8,-0.02550973,0.02550973,41.9865198110079
"47","2022-06-22",7,4,237,"Female",1.345,0.257045700351432,63.4,-0.03064655,0.03064655,43.5705934524365
"48","2022-06-22",7,5,175,"Protonymph",0.213,0.257045700351432,59,-0.02368899,0.02368899,42.5558047960859
"49","2022-06-22",7,6,246,"Female",1.937,0.257045700351432,61,-0.02840028,0.02840028,43.0007631752272
"50","2022-06-22",7,7,232,"Tritonymph",0.748,0.257045700351432,60,-0.02688383,0.02688383,42.5558047960859
"51","2022-06-22",7,8,269,"Tritonymph",0.622,0.257045700351432,65,-0.02148979,0.02148979,43.9253059838476
"52","2022-06-22",7,9,43,"Protonymph",0.139,0.257045700351432,98.4,-0.02842706,0.02842706,52.4201394513155
"53","2022-06-22",7,10,274,"Deutonymph",0.324,0.257045700351432,58.2,-0.02385953,0.02385953,42.0339602264311
"54","2022-06-23",8,1,301,"Protonymph",0.176,0.250920031202867,98.8,-0.01786419,0.01786419,51.9451900049527
"55","2022-06-23",8,2,107,"Male",0.648,0.250920031202867,68.2,-0.02325617,0.02325617,44.3408185878987
"56","2022-06-23",8,3,54,"Tritonymph",0.858,0.250920031202867,64.6,-0.03656607,0.03656607,43.4020981838645
"57","2022-06-23",8,4,270,"Deutonymph",0.325,0.250920031202867,80.8,-0.02636964,0.02636964,47.3140239338158
"58","2022-06-23",8,5,85,"Female",1.863,0.250920031202867,60.6,-0.0303089,0.0303089,42.4530172293357
"59","2022-06-23",8,6,36,"Protonymph",0.146,0.250920031202867,97,-0.0220784,0.0220784,51.0852643138914
"60","2022-06-23",8,7,112,"Female",1.522,0.250920031202867,62.8,-0.03383466,0.03383466,42.7793745699191
"61","2022-06-23",8,8,138,"Deutonymph",0.329,0.250920031202867,62.8,-0.02420389,0.02420389,42.7793745699191
"62","2022-06-23",8,9,80,"Male",1.199,0.250920031202867,68.8,-0.02756004,0.02756004,44.3896222336501
"63","2022-06-23",8,10,345,"Tritonymph",0.863,0.250920031202867,55,-0.02291766,0.02291766,40.5873002020903
"64","2022-06-23",9,10,7,"Male",0.983,0.250936462245841,68.2,-0.03069277,0.03069277,44.3975289695539
"65","2022-06-23",9,1,242,"Female",1.775,0.250936462245841,65.2,-0.03192461,0.03192461,43.8691408943236
"66","2022-06-23",9,2,35,"Protonymph",0.185,0.250936462245841,100.8,-0.01408385,0.01408385,52.2712746994705
"67","2022-06-23",9,3,146,"Male",1.118,0.250936462245841,68,-0.02825545,0.02825545,43.9253059838476
"68","2022-06-23",9,4,153,"Tritonymph",0.551,0.250936462245841,67,-0.03490186,0.03490186,43.9255786299132
"69","2022-06-23",9,5,334,"Deutonymph",0.302,0.250936462245841,65.8,-0.02263658,0.02263658,43.8691408943236
"70","2022-06-23",9,6,264,"Deutonymph",0.342,0.250936462245841,65.4,-0.02915699,0.02915699,43.8691408943236
"71","2022-06-23",9,8,4,"Female",1.425,0.250936462245841,65.6,-0.0309134,0.0309134,43.8691408943236
"72","2022-06-23",9,9,228,"Tritonymph",0.569,0.250936462245841,70,-0.02017829,0.02017829,44.8967439157598
"73","2022-06-23",10,1,48,"Deutonymph",0.451,0.251633793808337,90.2,-0.01842247,0.01842247,50.0402119442536
"74","2022-06-23",10,2,158,"Female",1.178,0.251633793808337,65.2,-0.02467126,0.02467126,43.9577508656599
"75","2022-06-23",10,3,79,"Female",1.781,0.251633793808337,65.6,-0.03287566,0.03287566,43.9577508656599
"76","2022-06-23",10,4,145,"Male",0.929,0.251633793808337,72,-0.02893979,0.02893979,45.1107710772953
"77","2022-06-23",10,5,57,"Tritonymph",0.866,0.251633793808337,73.6,-0.02315463,0.02315463,45.9417962853976
"78","2022-06-23",10,6,251,"Male",0.941,0.251633793808337,49.2,-0.02444283,0.02444283,39.7819037241592
"79","2022-06-23",10,7,248,"Male",0.864,0.251633793808337,65.2,-0.02468635,0.02468635,43.9577508656599
"80","2022-06-23",10,8,314,"Deutonymph",0.188,0.251633793808337,94.2,-0.01924411,0.01924411,51.1111656901283
"81","2022-06-23",10,9,212,"Female",1.582,0.251633793808337,65.6,-0.02818064,0.02818064,43.9577508656599
"82","2022-06-23",10,10,179,"Tritonymph",0.653,0.251633793808337,67,-0.02666658,0.02666658,44.1284273027571
"83","2022-06-23",11,10,141,"Female",1.853,0.253077945272034,57.4,-0.03238293,0.03238293,42.0102400187195
"84","2022-06-23",11,1,272,"Tritonymph",0.675,0.253077945272034,72.2,-0.02310693,0.02310693,45.0529701113774
"85","2022-06-23",11,2,305,"Deutonymph",0.312,0.253077945272034,70.8,-0.02003126,0.02003126,45.0777809033516
"86","2022-06-23",11,3,326,"Deutonymph",0.283,0.253077945272034,61,-0.02313409,0.02313409,42.7856454294291
"87","2022-06-23",11,4,224,"Female",1.785,0.253077945272034,64.6,-0.03859882,0.03859882,43.7636268669169
"88","2022-06-23",11,5,173,"Tritonymph",0.566,0.253077945272034,54.2,-0.02406879,0.02406879,40.9567356210465
"89","2022-06-23",11,6,214,"Deutonymph",0.184,0.253077945272034,62.8,-0.02553817,0.02553817,43.0165766470349
"90","2022-06-23",11,8,113,"Male",1.046,0.253077945272034,66.2,-0.03566399,0.03566399,44.0226406292848
"91","2022-06-23",11,9,329,"Tritonymph",0.591,0.253077945272034,66.4,-0.02524857,0.02524857,44.0226406292848
"92","2022-06-23",12,10,339,"Deutonymph",0.314,0.248896279582431,72.2,-0.02515732,0.02515732,45.3676036711379
"93","2022-06-23",12,1,256,"Female",1.45,0.248896279582431,64.6,-0.02946121,0.02946121,43.3535671841788
"94","2022-06-23",12,2,341,"Tritonymph",0.79,0.248896279582431,68.6,-0.02582056,0.02582056,44.3484526777369
"95","2022-06-23",12,3,18,"Male",1.23,0.248896279582431,65.8,-0.02876813,0.02876813,43.9092198659742
"96","2022-06-23",12,4,83,"Male",1.015,0.248896279582431,58.6,-0.02628468,0.02628468,42.0808553497229
"97","2022-06-23",12,5,50,"Male",1.229,0.248896279582431,71.4,-0.0259615,0.0259615,44.9049232977293
"98","2022-06-23",12,6,201,"Female",1.49,0.248896279582431,61.8,-0.0213886,0.0213886,42.8649854345334
"99","2022-06-23",12,7,211,"Female",1.5,0.248896279582431,67.2,-0.03098707,0.03098707,44.0062818653457
"100","2022-06-23",12,8,317,"Tritonymph",0.905,0.248896279582431,71.2,-0.02209818,0.02209818,44.9049232977293
"101","2022-06-23",12,9,335,"Deutonymph",0.268,0.248896279582431,70.6,-0.01839584,0.01839584,44.9049232977293
"102","2022-06-24",13,1,296,"Deutonymph",0.272,0.25112499677576,65.4,-0.01879112,0.01879112,43.3857394199255
"103","2022-06-24",13,2,263,"Tritonymph",0.764,0.25112499677576,82.8,-0.02048269,0.02048269,47.9847332553156
"104","2022-06-24",13,3,156,"Male",0.656,0.25112499677576,71.2,-0.02815848,0.02815848,45.0608768472813
