"","date","trial","channel","ind","stage","weight","ramp","logtime","ropt1","ropt2","tempcorr"
"1","2022-06-21",2,6,294,"Protonymph",0.24,0.219514593828808,71.6,-0.021145053098,0.021145053098,42.3038798314249
"2","2022-06-21",2,7,322,"Tritonymph",0.749,0.219514593828808,66.8,-0.022616535004,0.022616535004,41.2547377708024
"3","2022-06-21",2,9,258,"Male",1.001,0.219514593828808,64.8,-0.018882570497,0.018882570497,40.4188049335184
"4","2022-06-21",2,10,250,"Female",1.269,0.219514593828808,70,-0.03018952378,0.03018952378,42.12993164154
"5","2022-06-21",2,1,239,"Tritonymph",0.792,0.219514593828808,101,-0.014410801736,0.014410801736,48.3713453764078
"6","2022-06-21",2,2,311,"Protonymph",0.189,0.219514593828808,75.8,-0.019218062856,0.019218062856,43.1469014664158
"7","2022-06-21",3,10,10,"Female",1.228,0.249965543538262,60.6,-0.031779501034,0.031779501034,42.0966688215307
"8","2022-06-21",3,2,29,"Male",0.924,0.249965543538262,68.6,-0.023768463037,0.023768463037,44.0635375391323
"9","2022-06-21",3,3,87,"Protonymph",0.251,0.249965543538262,73.4,-0.051259831867,0.051259831867,45.0281593194032
"10","2022-06-21",3,4,166,"Female",1.376,0.249965543538262,67.2,-0.022997854747,0.022997854747,44.0144612473152
"11","2022-06-21",3,5,300,"Deutonymph",0.289,0.249965543538262,103,-0.025348088858,0.025348088858,52.8351067632354
"12","2022-06-21",3,7,14,"Deutonymph",0.347,0.249965543538262,62,-0.02228746968,0.02228746968,42.936963995865
"13","2022-06-21",3,8,271,"Tritonymph",0.647,0.249965543538262,64.8,-0.024625282631,0.024625282631,43.0645623545894
"14","2022-06-21",3,9,143,"Male",1.021,0.249965543538262,67.4,-0.027397672891,0.027397672891,44.0144612473152
"15","2022-06-22",4,1,337,"Protonymph",0.163,0.259586366648534,104.4,-0.020523443658,0.020523443658,54.6765582906378
"16","2022-06-22",4,2,51,"Deutonymph",0.35,0.259586366648534,64.4,-0.021431733822,0.021431733822,44.1447860666961
