,date,trial,channel,ind,stage,weight,ramp,logtime,ropt1,ropt2,tempcorr
1,6/21/2022,2,6,294,Protonymph,0.24,0.219514594,58.4,-0.01925548,0.01925548,39.44218673
2,6/21/2022,2,7,322,Tritonymph,0.749,0.219514594,60.6,-0.02079632,0.02079632,39.65430537
3,6/21/2022,2,8,22,Deutonymph,0.339,0.219514594,69.2,-0.01781269,0.01781269,41.37797379
4,6/21/2022,2,9,258,Male,1.001,0.219514594,59,-0.01602259,0.01602259,39.51798233
5,6/21/2022,2,10,250,Female,1.269,0.219514594,62.4,-0.02256806,0.02256806,40.38772328
6,6/21/2022,2,1,239,Tritonymph,0.792,0.219514594,44.4,-0.01257116,0.01257116,36.08809483
7,6/21/2022,2,2,311,Protonymph,0.189,0.219514594,85.2,-0.01747676,0.01747676,45.26099906
8,6/21/2022,2,4,136,Deutonymph,0.33,0.219514594,60.4,-0.01334913,0.01334913,39.65430537
9,6/21/2022,2,5,168,Male,1.219,0.219514594,68.4,-0.02418134,0.02418134,41.37797379
10,6/21/2022,3,10,10,Female,1.228,0.249965544,51.8,-0.02808031,0.02808031,39.83534235
11,6/21/2022,3,2,29,Male,0.924,0.249965544,67.8,-0.01937002,0.01937002,44.04663348
12,6/21/2022,3,3,87,Protonymph,0.251,0.249965544,76.8,-0.04423682,0.04423682,46.05876145
13,6/21/2022,3,4,166,Female,1.376,0.249965544,69.6,-0.02355368,0.02355368,44.89674392
14,6/21/2022,3,5,300,Deutonymph,0.289,0.249965544,95.2,-0.0222146,0.0222146,50.864421
15,6/21/2022,3,7,14,Deutonymph,0.347,0.249965544,44.8,-0.02214279,0.02214279,37.92409343
16,6/21/2022,3,8,271,Tritonymph,0.647,0.249965544,49.4,-0.02245661,0.02245661,38.97159962
17,6/21/2022,3,9,143,Male,1.021,0.249965544,68.6,-0.02303941,0.02303941,44.06353754
18,6/22/2022,4,1,337,Protonymph,0.163,0.259586367,98.4,-0.01802439,0.01802439,52.91090237
19,6/22/2022,4,2,51,Deutonymph,0.35,0.259586367,85.4,-0.02082669,0.02082669,49.86980815
20,6/22/2022,4,3,109,Tritonymph,0.73,0.259586367,66.2,-0.02548911,0.02548911,44.85557436
21,6/22/2022,4,4,245,Male,0.963,0.259586367,64.2,-0.02879087,0.02879087,43.9899231
22,6/22/2022,4,5,37,Female,1.332,0.259586367,68.6,-0.02878036,0.02878036,45.19392813
23,6/22/2022,4,6,131,Tritonymph,0.509,0.259586367,53.6,-0.02256749,0.02256749,41.62635436
24,6/22/2022,4,10,213,Deutonymph,0.241,0.259586367,92,-0.0232461,0.0232461,50.9650274
25,6/22/2022,4,7,5,Female,1.582,0.259586367,64.4,-0.03171343,0.03171343,43.9899231
26,6/22/2022,4,8,194,Male,0.999,0.259586367,54,-0.02403064,0.02403064,41.62635436
27,6/22/2022,4,9,154,Protonymph,0.109,0.259586367,95.2,-0.02726921,0.02726921,51.93373887
28,6/22/2022,5,1,24,Female,1.472,0.255547036,68.4,-0.02620282,0.02620282,44.84003353
29,6/22/2022,5,2,253,Male,0.9,0.255547036,61.2,-0.02951922,0.02951922,42.79409746
30,6/22/2022,5,4,3,Deutonymph,0.328,0.255547036,65.6,-0.03006013,0.03006013,43.86941354
31,6/22/2022,5,5,290,Protonymph,0.166,0.255547036,65,-0.01957691,0.01957691,43.82088254
32,6/22/2022,5,6,244,Female,1.454,0.255547036,64.8,-0.04192271,0.04192271,43.82088254
33,6/22/2022,5,7,257,Male,0.946,0.255547036,64.2,-0.02961703,0.02961703,43.64338995
34,6/22/2022,5,8,32,Tritonymph,0.613,0.255547036,50.8,-0.02401294,0.02401294,39.74427857
35,6/22/2022,5,9,159,Deutonymph,0.278,0.255547036,58.6,-0.01942014,0.01942014,41.87746138
36,6/22/2022,5,10,324,Protonymph,0.158,0.255547036,94.2,-0.02528877,0.02528877,51.398262
37,6/22/2022,6,10,267,Deutonymph,0.221,0.246093926,70,-0.01856749,0.01856749,42.936964
38,6/22/2022,6,1,288,Deutonymph,0.257,0.246093926,98,-0.01831366,0.01831366,49.75393358
39,6/22/2022,6,2,30,Female,1.583,0.246093926,67.6,-0.02587463,0.02587463,41.97097899
