"","inflection","id","real","values","rounded","imagine"
"1",12.7784351148053-0i,"2",12.7784351148053,"    12.7784351",12.78,0
"2",30.0946519417209-0i,"2",30.0946519417209,"    30.0946519",30.09,0
"3",39.5907255868197+0i,"2",39.5907255868197,"    39.5907256",39.59,0
"4",62.8457311432951-0i,"2",62.8457311432951,"    62.8457311",62.85,0
"5",102.22080481846-0i,"2",102.22080481846,"   102.2208048",102.22,0
"6",91.8355534957803+0i,"2",91.8355534957803,"    91.8355535",91.84,0
"7",21.2350254377633+0i,"3",21.2350254377633,"    21.2350254",21.24,0
"8",39.3584263544222-0.0000000000077i,"3",39.3584263544222,"    39.3584264",39.36,0
"9",65.8516816661074+0.0000000000326i,"3",65.8516816661074,"    65.8516817",65.85,0
"10",93.7456270058263-0.0000000000748i,"3",93.7456270058263,"    93.7456270",93.75,0
"11",110.115626770413+0.00000000007i,"3",110.115626770413,"   110.1156268",110.12,0
"12",24.1790153954911+0i,"4",24.1790153954911,"    24.1790154",24.18,0
"13",52.3289167050645-2.8203857842945i,"4",52.3289167050645,"    52.3289167",52.33,-2.82
"14",52.3289167050659+2.8203857842949i,"4",52.3289167050659,"    52.3289167",52.33,2.82
"15",72.7456207065371-0.0000000000004i,"4",72.7456207065371,"    72.7456207",72.75,0
"16",112.933926071286-0.000000000232i,"4",112.933926071286,"   112.9339261",112.93,0
"17",104.078925760355+0.000000000149i,"4",104.078925760355,"   104.0789258",104.08,0
"18",19.5610177765283+0i,"5",19.5610177765283,"    19.5610178",19.56,0
"19",44.5424223141849-4.6068894212924i,"5",44.5424223141849,"    44.5424223",44.54,-4.61
"20",44.5424223141912+4.6068894212821i,"5",44.5424223141912,"    44.5424223",44.54,4.61
"21",70.598119846864+0.000000000049i,"5",70.598119846864,"    70.5981198",70.6,0
"22",106.960037767226+1.771525169223i,"5",106.960037767226,"   106.9600378",106.96,1.77
"23",106.960037766231-1.77152516915i,"5",106.960037766231,"   106.9600378",106.96,-1.77
"24",23.0906865069863+0i,"7",23.0906865069863,"    23.0906865",23.09,0
"25",44.516454509491-0.0000000000001i,"7",44.516454509491,"    44.5164545",44.52,0
"26",52.6426581884576+0.0000000000001i,"7",52.6426581884576,"    52.6426582",52.64,0
"27",75.7249148596199-0.0000000000001i,"7",75.7249148596199,"    75.7249149",75.72,0
"28",114.809222173854-0i,"7",114.809222173854,"   114.8092222",114.81,0
"29",102.312957406468+0i,"7",102.312957406468,"   102.3129574",102.31,0
"30",10.5711909903907-0i,"10",10.5711909903907,"    10.5711910",10.57,0
"31",24.4046890463287+0i,"10",24.4046890463287,"    24.4046890",24.4,0
"32",38.526307400545-0i,"10",38.526307400545,"    38.5263074",38.53,0
"33",60.6580485963463+0i,"10",60.6580485963463,"    60.6580486",60.66,0
"34",88.5852760272024+0.863889964956i,"10",88.5852760272024,"    88.5852760",88.59,0.86
"35",88.5852760271984-0.8638899649567i,"10",88.5852760271984,"    88.5852760",88.59,-0.86
"36",11.6336320846398-0i,"14",11.6336320846398,"    11.6336321",11.63,0
"37",27.0146755352021+0i,"14",27.0146755352021,"    27.0146755",27.01,0
"38",42.2493292514489-0i,"14",42.2493292514489,"    42.2493293",42.25,0
"39",62.0875587191122+0i,"14",62.0875587191122,"    62.0875587",62.09,0
"40",83.67118470512-0i,"14",83.67118470512,"    83.6711847",83.67,0
"41",100.613065358162-0.000000000653i,"14",100.613065358162,"   100.6130654",100.61,0
"42",23.8863704811667+0.0000000000019i,"18",23.8863704811667,"    23.8863705",23.89,0
"43",40.1742327126945-0.0000000000139i,"18",40.1742327126945,"    40.1742327",40.17,0
"44",66.7497281326534+0.0000000000444i,"18",66.7497281326534,"    66.7497281",66.75,0
"45",108.88839290544+0.000000000365i,"18",108.88839290544,"   108.8883929",108.89,0
"46",103.615690760656-0.00000000036i,"18",103.615690760656,"   103.6156908",103.62,0
"47",14.2073878244953-0i,"22",14.2073878244953,"    14.2073878",14.21,0
"48",31.6947195045732+0i,"22",31.6947195045732,"    31.6947195",31.69,0
"49",50.0297245529347-0.0000000000259i,"22",50.0297245529347,"    50.0297246",50.03,0
"50",88.4971119201195+0.0000000024438i,"22",88.4971119201195,"    88.4971119",88.5,0
"51",87.1294189796083+5.5470101233184i,"22",87.1294189796083,"    87.1294190",87.13,5.55
"52",87.129418980159-5.5470101256992i,"22",87.129418980159,"    87.1294190",87.13,-5.55
"53",15.3782448589735+7.51552781604i,"24",15.3782448589735,"    15.3782449",15.38,7.52
"54",15.3782448589735-7.51552781604i,"24",15.3782448589735,"    15.3782449",15.38,-7.52
"55",35.0661936122171-9.7504644171232i,"24",35.0661936122171,"    35.0661936",35.07,-9.75
"56",35.0661936122175+9.7504644171233i,"24",35.0661936122175,"    35.0661936",35.07,9.75
"57",71.2141313690002+0.0000000000001i,"24",71.2141313690002,"    71.2141314",71.21,0
"58",111.337086809198+6.084145669511i,"24",111.337086809198,"   111.3370868",111.34,6.08
"59",111.337086806397-6.084145668583i,"24",111.337086806397,"   111.3370868",111.34,-6.08
"60",11.0714902063583-0i,"28",11.0714902063583,"    11.0714902",11.07,0
"61",26.7925672077443+0.0000000000123i,"28",26.7925672077443,"    26.7925672",26.79,0
"62",43.5974577906397-0.0000000000434i,"28",43.5974577906397,"    43.5974578",43.6,0
"63",70.1472993040424+0.0000000000913i,"28",70.1472993040424,"    70.1472993",70.15,0
"64",110.364316711829+0.000000000292i,"28",110.364316711829,"   110.3643167",110.36,0
"65",101.367729125063-0.000000000305i,"28",101.367729125063,"   101.3677291",101.37,0
"66",13.4628216649001-0i,"29",13.4628216649001,"    13.4628217",13.46,0
"67",27.0982157735076+0.0000000000008i,"29",27.0982157735076,"    27.0982158",27.1,0
"68",44.8245301597553-0.0000000000024i,"29",44.8245301597553,"    44.8245302",44.82,0
"69",68.6536321696844+0.0000000000042i,"29",68.6536321696844,"    68.6536322",68.65,0
"70",90.8384640876392-0.0000000000055i,"29",90.8384640876392,"    90.8384641",90.84,0
"71",105.201838352962+0.000000000004i,"29",105.201838352962,"   105.2018384",105.2,0
"72",12.2296942967769-0i,"30",12.2296942967769,"    12.2296943",12.23,0
"73",29.2968697718759-0i,"30",29.2968697718759,"    29.2968698",29.3,0
"74",40.5774791718086-0.0000000000009i,"30",40.5774791718086,"    40.5774792",40.58,0
"75",70.263562824546+0.0000000000065i,"30",70.263562824546,"    70.2635628",70.26,0
"76",104.052532333403+10.370647543203i,"30",104.052532333403,"   104.0525323",104.05,10.37
"77",104.052532333364-10.370647543195i,"30",104.052532333364,"   104.0525323",104.05,-10.37
"78",12.2105250319292+5.7268238042273i,"32",12.2105250319292,"    12.2105250",12.21,5.73
"79",12.2105250319283-5.7268238042267i,"32",12.2105250319283,"    12.2105250",12.21,-5.73
"80",54.5448985983643-0.0000000000808i,"32",54.5448985983643,"    54.5448986",54.54,0
"81",50.4111652085093-11.1350136406945i,"32",50.4111652085093,"    50.4111652",50.41,-11.14
"82",50.4111652084993+11.135013640758i,"32",50.4111652084993,"    50.4111652",50.41,11.14
"83",102.734235864548-0.000000000067i,"32",102.734235864548,"   102.7342359",102.73,0
"84",96.1495231480861+0.0000000000792i,"32",96.1495231480861,"    96.1495231",96.15,0
"85",22.5438162500165+0i,"35",22.5438162500165,"    22.5438163",22.54,0
"86",42.9909569331266-0i,"35",42.9909569331266,"    42.9909569",42.99,0
"87",60.7113848677788+0i,"35",60.7113848677788,"    60.7113849",60.71,0
"88",80.6261608628076-0.0000000000001i,"35",80.6261608628076,"    80.6261609",80.63,0
"89",97.2450278555337-0.0000000000143i,"35",97.2450278555337,"    97.2450279",97.25,0
"90",111.639117107921+0.000000000026i,"35",111.639117107921,"   111.6391171",111.64,0
"91",15.0169605890227+0i,"36",15.0169605890227,"    15.0169606",15.02,0
"92",42.2419491036441-0i,"36",42.2419491036441,"    42.2419491",42.24,0
"93",48.4917530619983+0i,"36",48.4917530619983,"    48.4917531",48.49,0
"94",69.9560671856137+0.0000000000024i,"36",69.9560671856137,"    69.9560672",69.96,0
"95",87.6612412375076-0.0000000000071i,"36",87.6612412375076,"    87.6612412",87.66,0
"96",105.770750604257+0.000000000227i,"36",105.770750604257,"   105.7707506",105.77,0
"97",10.7339327639097+0i,"37",10.7339327639097,"    10.7339328",10.73,0
"98",18.8564217008112-0i,"37",18.8564217008112,"    18.8564217",18.86,0
"99",40.5826798011433-4.1677826075159i,"37",40.5826798011433,"    40.5826798",40.58,-4.17
"100",40.5826798011434+4.1677826075159i,"37",40.5826798011434,"    40.5826798",40.58,4.17
"101",71.3547996790756+0.0000000000002i,"37",71.3547996790756,"    71.3547997",71.35,0
"102",103.417386291241+4.691833969722i,"37",103.417386291241,"   103.4173863",103.42,4.69
"103",103.417386291234-4.69183396972i,"37",103.417386291234,"   103.4173863",103.42,-4.69
"104",19.5186608269577+0.0000000000018i,"43",19.5186608269577,"    19.5186608",19.52,0
"105",32.8434653440194-0.0000000000075i,"43",32.8434653440194,"    32.8434653",32.84,0
"106",49.245446448057+0.0000000000143i,"43",49.245446448057,"    49.2454464",49.25,0
"107",65.634549359572-0.0000000000127i,"43",65.634549359572,"    65.6345494",65.63,0
"108",95.0313510011211+0.0000000000083i,"43",95.0313510011211,"    95.0313510",95.03,0
"109",114.391764123135-7.266007774769i,"43",114.391764123135,"   114.3917641",114.39,-7.27
"110",114.391764123139+7.266007774765i,"43",114.391764123139,"   114.3917641",114.39,7.27
"111",11.7314207171561+4.17490085015i,"48",11.7314207171561,"    11.7314207",11.73,4.17
"112",11.7314207171561-4.17490085015i,"48",11.7314207171561,"    11.7314207",11.73,-4.17
"113",37.7451558891596+0.0000000000002i,"48",37.7451558891596,"    37.7451559",37.75,0
